boro,budgetline,type,description,fy17cn,fy17cx,fy17f,fy17s,fy17p,fy17total
citywide,C-111,C,"LAUNDRIES, RECONSTRUCTION, ETC.",0,,,,,0
citywide,C-112,C,"PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF CORRECTION",0,,,,,0
citywide,C-114,C,"ACQUISITION, CONSTR., ETC. SUPPLEMENTARY HOUS. PROG. AND SUPPORT FACIL",0,,,,,0
citywide,C-117,C,"PURCHASE OF COMPUTER EQUIPMENT, ALL FACILITIES",0,,,,,0
citywide,C-130,C,"RECONS., CONST., IMPROV., RIKERS IS, P HSE., INCL. EQUIP, ACQ AND RECO",584000,,,0,,584000
citywide,C-135,C,"CONSTRUCTION, RECONSTRUCTION, ETC., HOUSE OF DETENTION FOR MEN, RIKERS",0,,,,,0
citywide,C-136,C,"CORRECTION INDUSTRIES FACILITIES AND SUPPORT",0,,,,,0
citywide,C-138,C,"RIKERS ISLAND INFRASTRUCTURE",9142000,,,,,9142000
citywide,C-139,C,"CONSTRUCTION OF HIGH SECURITY INSTITUTION, RIKERS ISLAND",0,,,,,0
citywide,C-141,C,"KITCHEN FACILITIES",0,,,,,0
citywide,CO-79,CO,"IMPROVE, RECON, MOD OF LONG TERM LEASED FACILITIES, ALL BOROUGHS",0,0,,4995000,,4995000
citywide,CO-264,CO,"ACQUISITION, ADDS, CONSTRUCT, RECONSTRUCT, COURT FACILITIES, CITYWIDE",70654000,0,,9183000,,79837000
citywide,CO-309,CO,"DASNY MANAGED COURTS PROJECTS- FUNDING AGREEMENT",40737000,,,,,40737000
bronx,CO-270,CO,"1118 GRAND CONCOURSE- NEW BRONX HOUSING COURT",0,0,,,,0
bronx,CO-290,CO,"NEW BRONX CRIMINAL COURT - PHASE 1",0,0,,,,0
bronx,CO-293,CO,"851 GRAND CONCOURSE - BRONX SUPREME COURT BUILDING",2215000,0,,,,2215000
bronx,CO-294,CO,"215 EAST 161ST ST. - BRONX CRIMINAL/FAMILY COURT BUILDING",0,0,,,,0
bronx,CO-295,CO,"1118 GRAND CONCOURSE - BRONX HOUSING COURT",0,,,,,0
brooklyn,CO-272,CO,"45 MONROE PL. - BROOKLYN APPELLATE DIVISION COURTHOUSE- 2ND DEPT.",509000,,,13000000,,13509000
brooklyn,CO-278,CO,"360 ADAMS ST. - BROOKLYN     SUPREME COURT",1764000,0,,,,1764000
brooklyn,CO-281,CO,"120 SCHERMERHORN ST. - BROOKLYN CRIMINAL COURT",5107000,0,,,,5107000
manhattan,CO-80,CO,"27 MADISON AVE. - MANHATTAN APPELLATE DIVISION COURTHOUSE - 1ST DEPT.",0,,,19745000,,19745000
manhattan,CO-81,CO,"31 CHAMBERS ST. - MANHATTAN SURROGATE'S COURT",0,0,,,,0
manhattan,CO-283,CO,"100 CENTRE ST. - MANHATTAN     CRIMINAL CO BUILDING",0,0,,,,0
manhattan,CO-284,CO,"111 CENTRE ST. - MANHATTAN COURT FACILITY",394000,0,,,,394000
manhattan,CO-285,CO,"60 LAFAYETTE ST. - MANHATTAN FAMILY COURT",0,0,,,,0
manhattan,CO-304,CO,"60 CENTRE ST. - MANHATTAN SUPREME COURT BUILDING",0,0,,,,0
manhattan,CO-305,CO,"315 WEST 54TH STREET, MANHATTAN MIDTOWN COMMUNITY COURT",0,0,,,0,0
manhattan,CO-306,CO,"170 EAST 121TH STREET, HARLEM COMMUNITY COURT",0,,,,,0
queens,CO-277,CO,"25-10 COURT HOUSE SQ. - LONG ISLAND CITY COURTHOUSE, QUEENS",313000,0,,,,313000
queens,CO-296,CO,"125-01 QUEENS BLVD. - QUEENS CRIMINAL COURTS BUILDING",0,0,,,,0
queens,CO-298,CO,"NEW QUEENS FAMILY COURT",0,0,,,,0
queens,CO-299,CO,"89-17 SUTPHIN BLVD. - QUEENS COURT FACILITY",816000,,,,,816000
queens,CO-300,CO,"88-11 SUTPHIN BLVD. - QUEENS SUPREME COURT BUILDING",114000,0,,,,114000
richmond,CO-275,CO,"67 TARGEE ST. - STATEN ISLAND CRIMINAL COURT",0,0,,,,0
richmond,CO-276,CO,"100 RICHMOND TERR. - STATEN ISLAND FAMILY COURT",0,0,,,,0
richmond,CO-287,CO,"NEW STATEN ISLAND SUPREME COURT BUILDING",0,,,,,0
richmond,CO-288,CO,"927 CASTLETON AVE. - STATEN ISLAND CIVIL COURT",0,0,,,,0
richmond,CO-301,CO,"130 STUYVESANT PL. - STATEN ISLAND JUDICIAL CENTER",0,0,,,,0
richmond,CO-302,CO,"18 RICHMOND TERR. - STATEN ISLAND COURT",0,,,,,0
citywide,CS-DN934,CS,"CHILDREN'S AID SOCIETY",413000,,,,,413000
citywide,CS-D001,CS,"IMPROVEMENTS OF STRUCTURES FOR PREVENTIVE, PROTECTIVE FOSTER CARE, ACS",0,,,,,0
citywide,CS-D002,CS,"IMPROVEMENTS OF STRUCTURES FOR FACILITIES, ACS, CITYWIDE",0,,,,,0
citywide,CS-D999,CS,"CONSTRUCTION OR ACQUISITION OF A NON-CITY OWNED PUBLIC BETTERMENT",0,,,,,0
citywide,CS-1,CS,"IMPROVEMENTS OF STRUCTURES FOR PREVENTIVE, PROTECTIVE FOSTER CARE, ACS",0,,0,,0,0
citywide,CS-2,CS,"IMPROVEMENTS OF STRUCTURES FOR FACILITIES, ACS, CITYWIDE",19836000,,0,0,,19836000
citywide,CS-3,CS,"IMPROVEMENTS OF STRUCTURES FOR     ACS, CITYWIDE",0,,0,0,,0
citywide,CS-4,CS,"EQUIPMENT FOR   ACS, CITYWIDE",0,,0,0,,0
citywide,CS-5,CS,"ACQUISITION AND CONSTRUCTION FOR YOUTH AND FAMILY JUSTICE, CITYWIDE",36837000,,,,,36837000
bronx,CS-XN148,CS,"EPISCOPAL SOCIAL SERVICES OF NEW YORK",0,,,,,0
bronx,CS-XN264,CS,"MID-BRONX SENIOR CITIZENS COUNCIL",0,,,,,0
bronx,CS-N264,CS,"MID-BRONX SENIOR CITIZENS COUNCIL",0,,,,,0
brooklyn,CS-DN039,CS,"AUDREY JOHNSON DAY CARE CENTER",0,,,,,0
brooklyn,CS-DN458,CS,"YELED V' YALDA EARLY CHILDHOOD CENTER",0,,,,,0
brooklyn,CS-DN799,CS,"GUILD FOR EXCEPTIONAL CHILDREN, INC.",842000,,,,,842000
brooklyn,CS-DN956,CS,"CYPRESS HILLS CHILD CARE CORPORATION",2798000,,,,,2798000
brooklyn,CS-KN207,CS,"JEWISH CHILD CARE ASSOCIATION OF NEW YORK, INC. (JCCA)",0,,,,,0
brooklyn,CS-K001,CS,"IMPROVEMENTS OF STRUCTURES FOR FACILITIES, ACD, BROOKLYN",0,,,,,0
brooklyn,CS-K999,CS,"CONSTRUCTION OR ACQUISITION OF A NON-CITY OWNED PUBLIC BETTERMENT",0,,,,,0
manhattan,CS-DN138,CS,"ECDO DAY CARE CENTER",0,,,,,0
manhattan,CS-DN139,CS,"ECUMENICAL COMMUNITY DEVELOPMENT ORGANIZATION DAY CARE CENTER",0,,,,,0
manhattan,CS-DN207,CS,"JEWISH CHILD CARE ASSOCIATION OF NEW YORK, INC. (JCCA)",0,,,,,0
manhattan,CS-DN312,CS,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT",312000,,,,,312000
manhattan,CS-DN615,CS,"INWOOD HOUSE",0,,,,,0
manhattan,CS-DN745,CS,"NEW YORK ROAD RUNNERS INC.",0,,,,,0
manhattan,CS-DN796,CS,"ASSOCIATION TO BENEFIT CHILDREN",0,,,,,0
manhattan,CS-MN312,CS,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT",0,,,,,0
manhattan,CS-MN934,CS,"CHILDREN'S AID SOCIETY",100000,,,,,100000
manhattan,CS-MN943,CS,"THE BRIDGE, INC.",148000,,,,,148000
queens,CS-DN012,CS,"GREATER RIDGEWOOD YOUTH COUNCIL",0,,,,,0
queens,CS-DN240,CS,"LIFELINE CENTER FOR CHILD DEVELOPMENT, INC.",0,,,,,0
queens,CS-DN858,CS,"FORESTDALE INC.",0,,,,,0
queens,CS-QN179,CS,"SAFE SPACE INC.",0,,,,,0
queens,CS-QN210,CS,"HOUR CHILDREN, INC",36000,,,,,36000
queens,CS-QN240,CS,"LIFELINE CENTER FOR CHILD DEVELOPMENT, INC.",0,,,,,0
queens,CS-QN858,CS,"FORESTDALE, INC.",41000,,,,,41000
citywide,DP-1,DP,"PURCHASE OF EDP EQUIPMENT FOR DoITT & DESIGN/INSTALL/IMPLEMENT CITYNET",21591000,,0,,,21591000
citywide,DP-2,DP,"ECTP EMERGENCY COMMUNICATION SYSTEMS AND FACILITIES",0,,0,,,0
citywide,E-D001,E,"CITY COUNCIL, SECTION 254 ADDITIONS",111158000,,,0,,111158000
citywide,E-2360,E,"FIVE YEAR EDUCATION CAPITAL PLAN FY 1995 TO FY 1999",0,,,,0,0
citywide,E-2361,E,"FIVE YEAR EDUCATIONAL FACILITIES CAPITAL PLAN",0,,0,0,0,0
citywide,E-2362,E,"FIVE YEAR EDUCATIONAL FACILITIES CAPITAL PLAN",0,,0,0,0,0
citywide,E-2363,E,"FIVE YEAR EDUCATIONAL FACILITIES CAPITAL PLAN",167674000,,,0,,167674000
citywide,E-2364,E,"E-2364 SIXTH FIVE-YEAR EDUCATIONAL FACILITIES CAPITAL PLAN",285000,,,121000000,,121285000
citywide,E-2500,E,"SCHOOL FACILIITIES CAPITAL, HURRICANE SANDY & NOR'EASTER",10980000,,98820000,,,109800000
citywide,E-3000,E,"MAYORAL AND CITY COUNCIL ADDITIONS",0,,,,,0
citywide,E-3001,E,"MAYORAL AND CITY COUNCIL ADDITIONS TO THE FIVE YEAR EDUCATIONAL",0,,,,,0
citywide,E-4002,E,"CEO SCHOOL HEALTH CLINICS",0,,,,,0
citywide,E-4003,E,"SCHOOLYARDS TO PLAYGROUNDS",0,,,,,0
citywide,E-4004,E,"PLANYC 2030 NEW FUEL BURNERS",30077000,,,0,,30077000
citywide,E-4005,E,"E-4005 GREEN INFRASTRUCTURE",315000,,,,,315000
citywide,E-4006,E,"DOE SCHOOL BASED HEALTH CENTERS",43500000,,,,,43500000
bronx,E-X001,E,"BRONX BOROUGH PRESIDENT, SECTION 211 & 249 ADDITIONS",3525000,,,,,3525000
brooklyn,E-K001,E,"BROOKLYN BOROUGH PRESIDENT, SECTION 211 & 249 ADDITIONS",25116000,,,,,25116000
manhattan,E-D4001,E,"FIT",0,,,,,0
manhattan,E-M001,E,"MANHATTAN BOROUGH PRESIDENT, SECTION 211 & 249 ADDITIONS",13139000,,,,,13139000
manhattan,E-M4001,E,"FIT",150000,,,,,150000
manhattan,E-4001,E,"FIT",0,,,,,0
queens,E-Q001,E,"QUEENS BOROUGH PRESIDENT, SECTION 211 & 249 ADDITIONS",9810000,,,,,9810000
richmond,E-R001,E,"STATEN ISLAND BOROUGH PRESIDENT, SECTION 211 & 249 ADDITIONS",13163000,,,,,13163000
citywide,ED-C380,ED,"INDUSTRIAL AND COMMERCIAL DEVELOPMENT, ALL BOROUGHS",0,,,,,0
citywide,ED-D075,ED,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION AND RECONSTRUCTION",1800000,,,,,1800000
citywide,ED-D380,ED,"INDUSTRIAL AND COMMERCIAL DEVELOPMENT, ALL BOROUGHS",0,,,,,0
citywide,ED-D384,ED,"COMMERCIAL REVITALIZATION, CITYWIDE",0,,,,,0
citywide,ED-D401,ED,"NON-COMMERCIAL WATERFRONT DEVELOPMENT",5000000,,,,,5000000
citywide,ED-D408,ED,"MODERNIZATION, RECONSTRUCTION, MARKETS",4950000,,,,,4950000
citywide,ED-D999,ED,"CONSTRUCTION OR ACQUISITION OF A NON-CITY OWNED PUBLIC BETTERMENT",0,,,,,0
citywide,ED-75,ED,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, CITYWIDE",337021000,0,38949000,2670000,0,378640000
citywide,ED-380,ED,"INDUSTRIAL AND COMMERCIAL DEVELOPMENT, ALL BOROUGHS",0,,0,0,,0
citywide,ED-384,ED,"COMMERCIAL REVITALIZATION CITY WIDE",97966000,,0,0,,97966000
citywide,ED-395,ED,"DEVELOPMENT OF DOWNTOWN AREAS, CITYWIDE",0,,0,,,0
citywide,ED-401,ED,"NON-COMMERCIAL WATERFRONT DEVELOPMENT",0,,0,0,,0
citywide,ED-404,ED,"ECONOMIC DEVELOPMENT FOR INDUSTRIAL, WATERFRONT AND COMMERCIAL PURPOSE",0,,0,0,,0
citywide,ED-408,ED,"MODERNIZATION, RECONSTRUCTION, MARKETS",55000000,,0,0,,55000000
citywide,ED-409,ED,"MODERNIZATION, RECONSTRUCTION, PIERS, CITYWIDE",84521000,,0,0,0,84521000
citywide,ED-410,ED,"INTERNATIONAL BUSINESS DEVELOPMENT",0,,0,0,,0
citywide,ED-999,ED,"CONSTRUCTION OR ACQUISITION OF A NON-CITY OWNED PUBLIC BETTERMENT",0,,,,0,0
bronx,ED-DN793,ED,"THE OSBORNE ASSOCIATION, INC.",0,,,,,0
bronx,ED-XN160,ED,"FOOD BANK FOR NEW YORK CITY",513000,,,,,513000
bronx,ED-XN793,ED,"THE OSBORNE ASSOCIATION, INC.",0,,,,,0
bronx,ED-X075,ED,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION AND RECONSTRUCTION, BRONX",0,,,,,0
bronx,ED-X384,ED,"COMMERCIAL REVITALIZATION, STREET AND SIDEWALK IMPROVEMENTS, THE BRONX",0,,,,,0
brooklyn,ED-DN069,ED,"FAMILY HOME CARE SERVICES OF BROOKLYN AND QUEENS, INC.",0,,,,,0
brooklyn,ED-DN137,ED,"EAST WILLIAMSBURG VALLEY INDUSTRIAL DEVELOPMENT CORPORATION (EWVIDCO)",0,,,,,0
brooklyn,ED-DN175,ED,"GREENPOINT MANUFACTURING AND DESIGN CENTER LOCAL DEVELOPMENT CORP.",0,,,,,0
brooklyn,ED-DN408,ED,"SUNY DOWNSTATE MEDICAL CENTER",0,,,,,0
brooklyn,ED-DN631,ED,"MAKE THE ROAD NEW YORK",5146000,,,,,5146000
brooklyn,ED-DN632,ED,"LEAP, INC. D/B/A BROOKLYN WORKFORCE INNOVATIONS",0,,,,,0
brooklyn,ED-DN633,ED,"MANUFACTURING AND INDUSTRIAL INVESTMENT FUND",0,,,,,0
brooklyn,ED-DN676,ED,"BIOBAT, INC.",0,,,,,0
brooklyn,ED-DN733,ED,"HISPANIC INFORMATION TELEVISION NETWORK",0,,,,,0
brooklyn,ED-DN760,ED,"ST. NICKS ALLIANCE CORP.",0,,,,,0
brooklyn,ED-DN776,ED,"PRATT INSTITUTE",0,,,,,0
brooklyn,ED-D319,ED,"BROOKLYN NAVY YARD",0,,,,,0
brooklyn,ED-KN069,ED,"FAMILY HOME CARE SERVICES OF BROOKLYN AND QUEENS, INC.",0,,,,,0
brooklyn,ED-KN137,ED,"EAST WILLIAMSBURG VALLEY INDUSTRIAL DEVELOPMENT CORPORATION (EWVIDCO)",0,,,,,0
brooklyn,ED-KN408,ED,"SUNY DOWNSTATE MEDICAL CENTER",0,,,,,0
brooklyn,ED-KN532,ED,"LONG ISLAND UNIVERSITY",0,,,,,0
brooklyn,ED-KN633,ED,"MANUFACTURING AND INDUSTRIAL INVESTMENT FUND",0,,,,,0
brooklyn,ED-KN645,ED,"BROOKLYN YOUTH CHORUS",0,,,,,0
brooklyn,ED-KN676,ED,"STATE UNIVERSITY OF NEW YORK - BIOBAT",1000000,,,,,1000000
brooklyn,ED-KN739,ED,"BED-STUY CAMPAIGN AGAINST HUNGER",0,,,,,0
brooklyn,ED-KN776,ED,"PRATT INSTITUTE",0,,,,,0
brooklyn,ED-K075,ED,"ACQUISTION, SITE DEVELOPMENT, CONSTRUCTION AND RECONSTRUCTION",35000,,,,,35000
brooklyn,ED-K319,ED,"BROOKLYN NAVY YARD INDUSTRIAL PARK",722000,,,,,722000
brooklyn,ED-K384,ED,"STREET AND SIDEWALK INPROVEMENTS, BROOKLYN",200000,,,,,200000
brooklyn,ED-K408,ED,"MODERNIZATION, RECONSTRUCTION, MARKETS, BROOKLYN",2400000,,,,,2400000
brooklyn,ED-K409,ED,"MODERNIZATION, RECONSTRUCTION, PIERS, BROOKLYN",1000000,,,,,1000000
brooklyn,ED-N399,ED,"ST. NICHOLAS NEIGHBORHOOD PRESERVATION CORPORATION",0,,,,,0
brooklyn,ED-319,ED,"BROOKLYN NAVY YARD",4198000,0,0,0,,4198000
brooklyn,ED-373,ED,"BROOKLYN ARMY TERMINAL",0,,0,,,0
manhattan,ED-DN160,ED,"FOOD BANK FOR NEW YORK CITY",255000,,,,,255000
manhattan,ED-DN257,ED,"MANHATTAN YOUTH",0,,,,,0
manhattan,ED-DN447,ED,"WASHINGTON HEIGHTS YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSN (YM&YWHA)",0,,,,,0
manhattan,ED-DN543,ED,"ALIANZA DOMINICANA'S CASA     AFRO-QUISQUEY CULTURAL CENTER",0,,,,,0
manhattan,ED-DN544,ED,"HUDSON MEWS",0,,,,,0
manhattan,ED-DN769,ED,"CHINATOWN MANPOWER PROJECT, INC.",0,,,,,0
manhattan,ED-DN801,ED,"LOWER EAST SIDE DISTRICT MANAGEMENT ASSOCIATION, INC.",0,,,,,0
manhattan,ED-DN841,ED,"AMBER CHARTER SCHOOL",0,,,,,0
manhattan,ED-MN013,ED,"GOVERNORS ISLAND PRESERVATION",0,,,,,0
manhattan,ED-MN077,ED,"BROTHERHOOD/ SISTER SOL",250000,,,,,250000
manhattan,ED-MN447,ED,"WASHINGTON HEIGHTS YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSN (YM&YWHA)",0,,,,,0
manhattan,ED-MN510,ED,"NEW YORK RESTORATION PROJECT (NYRP)",257000,,,,,257000
manhattan,ED-MN628,ED,"GROWNYC / COUNCIL ON THE ENVIRONMENT INC.",42000,,,,,42000
manhattan,ED-MN937,ED,"IMMIGRANT SOCIAL SERVICES, INC.",77000,,,,,77000
manhattan,ED-M001,ED,"RECONSTRUCTION STOREFRONTS, MANHATTAN",0,,,,,0
manhattan,ED-M075,ED,"ACQUISTION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, MANHATTAN",0,,0,0,,0
manhattan,ED-N261,ED,"MERCY CORPS ACTION CENTER TO END WORLD HUNGER",0,,,,,0
manhattan,ED-387,ED,"SOUTH ST, SEAPORT, SITE IMPROVEMENTS, MANHATTAN",0,,0,,,0
manhattan,ED-405,ED,"RECONSTRUCTION OF WHITEHALL TERMINAL, MANHATTAN",0,,0,0,,0
manhattan,ED-831,ED,"TRUST FOR GOVERNORS ISLAND",9114000,,,,,9114000
queens,ED-DN032,ED,"ARVERNE-BY-THE-SEA YOUNG MEN'S CHRISTIAN ASSOCIATION (YMCA)",0,,,,,0
queens,ED-DN089,ED,"CATALPA YOUNG MEN'S CHRISTIAN ASSOCIATION (YMCA)",0,,,,,0
queens,ED-DN631,ED,"MAKE THE ROAD NEW YORK",5146000,,,,,5146000
queens,ED-QN160,ED,"FOOD BANK FOR NEW YORK CITY",99000,,,,,99000
queens,ED-QN394,ED,"ROCKAWAY WATERFRONT ALLIANCE, INC.",0,,,,,0
queens,ED-QN631,ED,"MAKE THE ROAD NEW YORK",513000,,,,,513000
queens,ED-QN827,ED,"KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK, INC.",0,,,,,0
queens,ED-Q384,ED,"COMMERCIAL REVITALIZATION, QUEENS",0,,0,,0,0
queens,ED-83,ED,"COLLEGE POINT INDUSTRIAL PARK, QUEENS",0,0,0,0,,0
richmond,ED-R075,ED,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION AND RECONSTRUCTION, S.I.",0,,,,,0
citywide,EP-D004,EP,"PURCHASE OF EQUIPMENT FOR USE BY THE DEPT OF ENVIRONMENTAL PROTECTION",0,,,,,0
citywide,EP-D008,EP,"REMEDIAL ACTION AT CLOSED LANDFILLS,",0,,,,,0
citywide,EP-4,EP,"PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF ENVIRONMENTAL PROTECTION",0,0,0,0,0,0
citywide,EP-5,EP,"PURCHASE OF ELECTRONIC DATA PROCESSING EQUIP. FOR D.E.P.",0,0,0,,,0
citywide,EP-6,EP,"ACQUISITION/RECON/CON LEASED & OWNED FACILITIES BY DEP",5493000,0,0,,,5493000
citywide,EP-7,EP,"MANDATED PAYMENTS FOR PRIVATE GAS UTILITY RELOCATION, DEP, CITYWIDE",,42969000,0,0,,42969000
citywide,EP-8,EP,"REMEDIAL ACTION AT CLOSED LANDFILLS,",0,0,0,0,,0
citywide,EP-9,EP,"IMPROVEMENTS FOR WATER CONSERVATION AND MEASUREMENT, CITYWIDE",,0,,,,0
citywide,EP-10,EP,"INSTALLATION OF WATER MEASURING DEVICES, CITYWIDE",0,115834000,0,,,115834000
